date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:46:53	0/0	---M--	200	added ('OK')	text/plain	etag:%22110253a-0-52d841709bb40%22	http://eco-story.co.kr/robots.txt		(from )
02:46:53	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Jul%202018%2017:46:55%20GMT	http://eco-story.co.kr/	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/index.html	(from )
02:46:53	225054/225054	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:46:56%20GMT	http://eco-story.co.kr/main/index	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/main/index.html	(from http://eco-story.co.kr/)
02:46:54	0/0	---M--	200	added ('OK')	text/css	etag:%221182136-0-4e7a617b26fc0%22	http://eco-story.co.kr/data/font/font.css	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/font/font.2.delayed	(from http://eco-story.co.kr/main/index)
02:46:54	18919/18919	---M--	200	added ('OK')	text/css	etag:%2211a0677-49e7-5616315be4180%22	http://eco-story.co.kr/data/skin/0727zerom/css/common.css	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/css/common.css	(from http://eco-story.co.kr/main/index)
02:46:55	12317/12317	---M--	200	added ('OK')	text/css	etag:%2211a0676-301d-55c7d28849c00%22	http://eco-story.co.kr/data/skin/0727zerom/css/buttons.css	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/css/buttons.css	(from http://eco-story.co.kr/main/index)
02:46:55	36036/36036	---M--	200	added ('OK')	text/css	etag:%2211a067c-8cc4-55c7d28849c00%22	http://eco-story.co.kr/data/skin/0727zerom/css/jqueryui/black-tie/jquery-ui-1.8.16.custom.css	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/css/jqueryui/black-tie/jquery-ui-1.8.16.custom.css	(from http://eco-story.co.kr/main/index)
02:46:56	34408/34408	---M--	200	added ('OK')	image/jpeg	etag:%221183fb2-8668-5605cc1c93500%22	http://eco-story.co.kr/data/icon/favicon/snslogo.jpg?1532022416	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/icon/favicon/snslogoaeaa.jpg	(from http://eco-story.co.kr/main/index)
02:46:56	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%221183fb1-47e-5605c7784c180%22	http://eco-story.co.kr//data/icon/favicon/favicon1513325142.ico	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/icon/favicon/favicon1513325142.ico	(from http://eco-story.co.kr/main/index)
02:46:58	7188/7188	---M--	200	added ('OK')	application/javascript	etag:%221181818-1c14-4c09925781a80%22	http://eco-story.co.kr/app/javascript/plugin/jquery.activity-indicator-1.0.0.min.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/plugin/jquery.activity-indicator-1.0.0.min.js	(from http://eco-story.co.kr/main/index)
02:46:59	10519/10519	---M--	200	added ('OK')	application/javascript	etag:%221181825-2917-4b989dbe94a80%22	http://eco-story.co.kr/app/javascript/plugin/jquery.poshytip.min.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/plugin/jquery.poshytip.min.js	(from http://eco-story.co.kr/main/index)
02:46:59	1941/1941	---M--	200	added ('OK')	application/javascript	etag:%22118181b-795-4bddbb64f9940%22	http://eco-story.co.kr/app/javascript/plugin/jquery.cookie.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/plugin/jquery.cookie.js	(from http://eco-story.co.kr/main/index)
02:47:00	6786/6786	---M--	200	added ('OK')	application/javascript	etag:%221181828-1a82-4d4dd49bfa540%22	http://eco-story.co.kr/app/javascript/plugin/jquery.slides.min.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/plugin/jquery.slides.min.js	(from http://eco-story.co.kr/main/index)
02:47:01	5297/5297	---M--	200	added ('OK')	application/javascript	etag:%221181824-14b1-506eb3c5778c0%22	http://eco-story.co.kr/app/javascript/plugin/jquery.placeholder.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/plugin/jquery.placeholder.js	(from http://eco-story.co.kr/main/index)
02:47:02	6178/6178	---M--	200	added ('OK')	application/javascript	etag:%221181816-1822-4c1254eb0c140%22	http://eco-story.co.kr/app/javascript/plugin/custom-select-box.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/plugin/custom-select-box.js	(from http://eco-story.co.kr/main/index)
02:47:06	20843/20843	---M--	200	added ('OK')	application/javascript	etag:%221181801-516b-5712a9c09b400%22	http://eco-story.co.kr/app/javascript/js/common.js?dummy=20180720024656	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/js/common605a.js	(from http://eco-story.co.kr/main/index)
02:47:07	50649/50649	---M--	200	added ('OK')	application/javascript	etag:%221181819-c5d9-5249dd904f740%22	http://eco-story.co.kr/app/javascript/plugin/jquery.bxslider.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/plugin/jquery.bxslider.js	(from http://eco-story.co.kr/main/index)
02:47:08	3143/3143	---M--	200	added ('OK')	application/javascript	etag:%2211817f8-c47-4b989dbe94a80%22	http://eco-story.co.kr/app/javascript/js/base64.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/js/base64.js	(from http://eco-story.co.kr/main/index)
02:47:10	94840/94840	---M--	200	added ('OK')	application/javascript	etag:%2211817ea-17278-4bc5b0f71ba80%22	http://eco-story.co.kr/app/javascript/jquery/jquery.min.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/jquery/jquery.min.js	(from http://eco-story.co.kr/main/index)
02:47:12	41763/41763	---M--	200	added ('OK')	application/javascript	etag:%221181806-a323-56c3553781b40%22	http://eco-story.co.kr/app/javascript/js/front-layout.js?dummy=20180720024656	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/js/front-layout605a.js	(from http://eco-story.co.kr/main/index)
02:47:13	20416/20416	---M--	200	added ('OK')	application/javascript	etag:%2211817fa-4fc0-4d3eac9d79740%22	http://eco-story.co.kr/app/javascript/js/board-display.js?dummy=20180720024656	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/js/board-display605a.js	(from http://eco-story.co.kr/main/index)
02:47:13	3982/3982	---M--	200	added ('OK')	application/javascript	etag:%2211a066f-f8e-55c7d28849c00%22	http://eco-story.co.kr/data/skin/0727zerom/common/script.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/common/script.js	(from http://eco-story.co.kr/main/index)
02:47:14	733/733	---MC-	200	added ('OK')	text/css	date:Thu,%2019%20Jul%202018%2017:47:16%20GMT	http://fonts.googleapis.com/earlyaccess/nanumgothic.css	C:/My%20Web%20Sites/ecostory/fonts.googleapis.com/earlyaccess/nanumgothic.css	(from http://eco-story.co.kr/main/index)
02:47:14	36626/36626	---M--	200	added ('OK')	text/css	etag:%2211a067a-8f12-55cd0c1630bc0%22	http://eco-story.co.kr/data/skin/0727zerom/css/mcss.css	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/css/mcss.css	(from http://eco-story.co.kr/main/index)
02:47:14	1987/1987	---M--	200	added ('OK')	application/javascript	etag:%2211a0aab-7c3-55cd0c1724e00%22	http://eco-story.co.kr/data/skin/0727zerom/images/mimg/js/mcommon.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/images/mimg/js/mcommon.js	(from http://eco-story.co.kr/main/index)
02:47:14	937/937	---M--	200	added ('OK')	image/gif	etag:%2211a0a9d-3a9-55cf8ba316f40%22	http://eco-story.co.kr/data/skin/0727zerom/images/mimg/top_logo.gif	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/images/mimg/top_logo.gif	(from http://eco-story.co.kr/main/index)
02:47:15	178639/178639	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:17%20GMT	http://eco-story.co.kr/goods/catalog?code=0001	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog762d.html	(from http://eco-story.co.kr/main/index)
02:47:16	114674/114674	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:17%20GMT	http://eco-story.co.kr/goods/catalog?code=00010001	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog6408.html	(from http://eco-story.co.kr/main/index)
02:47:17	116504/116504	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:18%20GMT	http://eco-story.co.kr/goods/catalog?code=00010002	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalogd588.html	(from http://eco-story.co.kr/main/index)
02:47:17	91237/91237	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:19%20GMT	http://eco-story.co.kr/goods/catalog?code=00010006	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog9e51.html	(from http://eco-story.co.kr/main/index)
02:47:18	132295/132295	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:20%20GMT	http://eco-story.co.kr/goods/catalog?code=00010003	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog9c66.html	(from http://eco-story.co.kr/main/index)
02:47:19	149174/149174	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:20%20GMT	http://eco-story.co.kr/goods/catalog?code=00010005	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog41df.html	(from http://eco-story.co.kr/main/index)
02:47:19	180128/180128	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:21%20GMT	http://eco-story.co.kr/goods/catalog?code=0002	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog5366.html	(from http://eco-story.co.kr/main/index)
02:47:20	178671/178671	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:22%20GMT	http://eco-story.co.kr/goods/catalog?code=00020001	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog4c8e.html	(from http://eco-story.co.kr/main/index)
02:47:21	144453/144453	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:22%20GMT	http://eco-story.co.kr/goods/catalog?code=00020002	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalogf103.html	(from http://eco-story.co.kr/main/index)
02:47:21	114771/114771	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:23%20GMT	http://eco-story.co.kr/goods/catalog?code=00020003	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog1a12.html	(from http://eco-story.co.kr/main/index)
02:47:22	173111/173111	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:24%20GMT	http://eco-story.co.kr/goods/catalog?code=0003	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/cataloge7ff.html	(from http://eco-story.co.kr/main/index)
02:47:23	144458/144458	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:24%20GMT	http://eco-story.co.kr/goods/catalog?code=00030001	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog2e0a.html	(from http://eco-story.co.kr/main/index)
02:47:24	157867/157867	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:25%20GMT	http://eco-story.co.kr/goods/catalog?code=00030002	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog6f78.html	(from http://eco-story.co.kr/main/index)
02:47:24	119177/119177	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:26%20GMT	http://eco-story.co.kr/goods/catalog?code=00030003	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog0f19.html	(from http://eco-story.co.kr/main/index)
02:47:25	95096/95096	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:26%20GMT	http://eco-story.co.kr/goods/catalog?code=00030004	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog613d.html	(from http://eco-story.co.kr/main/index)
02:47:25	127075/127075	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:27%20GMT	http://eco-story.co.kr/goods/catalog?code=0004	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/goods/catalog617e.html	(from http://eco-story.co.kr/main/index)
